Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,LAURCN9-Q,LAURA MERCIER/HIGH COVERAGE CONCEALER FOR UNDER EYE (7) .27 OZ (8 ML), 736150128317, ,28.00,83,4.75
,LAUREL3-Q,LAURA MERCIER/CREME EYELINER INDIGO .12 OZ (3.5 ML), 736150101181, ,30.00,81,5.75
,LAURES43-Q,LAURA MERCIER/CAVIAR STICK EYE COLOUR (MYSTIC GOLD) .05 OZ (1.64 ML), 736150167880, ,29.00,67,9.45
,LAURES50-Q,LAURA MERCIER/CAVIAR STICK EYE COLOUR (BEAMING) .05 OZ (1.64 ML), 736150183118, ,29.00,77,6.75
,LAURES45-Q,"LAURA MERCIER/CAVIAR CHROME VEIL (CRYSTAL ROSE) 0.2 OZ 
LIQUID EYESHADOW", 736150173317, ,29.00,77,6.75
,LAURES46-Q,"LAURA MERCIER/CAVIAR CHROME VEIL (MOONLIGHT SHIMMER) 0.2 OZ 
LIQUID EYESHADOW", 736150173270, ,29.00,77,6.75
,LAURES47-Q,"LAURA MERCIER/CAVIAR CHROME VEIL (NIGHT SKY) 0.2 OZ 
LIQUID EYESHADOW", 736150173454, ,29.00,77,6.75
,LAURGL1-Q,"LAURA MERCIER GLACE TOUCH EYE,CHEEK LIP GLOSS LAISSEZ FAIRE .45 OZ (13.5 ML)", 736150167828, 12704803,28.00,85,4.25
,LAURGL2-Q,"LAURA MERCIER GLACE TOUCH EYE,CHEEK LIP GLOSS OASIS .45 OZ (13.5 ML)", 736150167842, 12704804,28.00,87,3.70
,LAURGL3-Q,"LAURA MERCIER GLACE TOUCH EYE,CHEEK LIP GLOSS NOMAD .45 OZ (13.5 ML)", 736150167866, ,28.00,79,5.75
,LAURLG33-Q,LAURA MERCIER/LIP GLACE (HIBISCUS) .15 OZ (4.5 ML), 736150183156, ,28.00,72,7.75
,LAURLG29-Q,LAURA MERCIER/LACQUER UP ACRYLIC LIP VARNISH (HEAT) 0.20 OZ (6 ML), 736150157188, ,28.00,72,7.75
,LAURLG30-Q,LAURA MERCIER/LACQUER UP ACRYLIC LIP VARNISH (RISQUE) 0.20 OZ (6 ML), 736150157089, ,28.00,72,7.75
,LAURLG31-Q,LAURA MERCIER/LACQUER UP ACRYLIC LIP VARNISH (SOLEIL) 0.20 OZ (6 ML), 736150157140, ,28.00,72,7.75
,LAURLS62-Q,"LAURA MERCIER/VELOUR EXTREME MATTE LIPSTICK (MUSE) .035 OZ (1.4 ML) 
LILAC", 736150169525, ,30.00,68,9.75
,LAURLS94-Q,LAURA MERCIER/ VELOUR EXTREME MATTE LIPSTICK (SOIREE) .035 OZ, 736150169488, ,30.00,61,11.70
,LAURLS98-Q,LAURA MERCIER/ VELOUR EXTREME MATTE LIPSTICK (SOULFUL) .035 OZ, 736150167989, ,30.00,61,11.70
,LAURLS101-Q,LAURA MERCIER/VELOUR LOVERS LIP COLOUR (BISOUS) 0.12 OZ (3.6 ML), 736150152572, ,30.00,78,6.75
,LAURLS102-Q,LAURA MERCIER/VELOUR LOVERS LIP COLOUR (BLISS) 0.12 OZ (3.6 ML), 736150157669, ,30.00,78,6.75
,LAURLS103-Q,LAURA MERCIER/VELOUR LOVERS LIP COLOUR (JOY) 0.12 OZ (3.6 ML), 736150157645, ,30.00,78,6.75
