Product code,Description,Pack,Size,Measurement,Unit UPC,Category,[TI],[HI],Min Purchase Qty 1,Case Price 1,Unit Price 1,Min Purchase Qty 2,Case Price 2,Unit Price 2,Min Purchase Qty 3,Case Price 3,Unit Price 3,Min Purchase Qty 4,Case Price 4,Unit Price 4
10673,BOING GLASS MANGO,24,12,oz,019836400021,Hispanic Beverages,12,5,0,$34.36,$1.43,12,$31.89,$1.33,,,,,,
17270,BOING GLASS PEACH,24,12,oz,09836400212,Hispanic Beverages,12,5,0,$34.36,$1.43,12,$31.89,$1.33,,,,,,
15460,BOLIS FREEZE POPS 18.9 OZ,24,8,ct,078853008245,Freeze Pops,12,5,0,$18.54,$0.77,60,$16.07,$0.67,,,,,,
17357,BOTANA ARITOS CHILE & LIME,20,2.65,oz,813513010240,Hispanic Candy & Snacks,6,3,0,$15.45,$0.77,,,,,,,,,
17359,BOTANA ARITOS FUEGO,20,2.65,oz,813513010547,Hispanic Candy & Snacks,6,3,0,$15.45,$0.77,,,,,,,,,
17358,BOTANA ARITOS SALT & LIME,20,2.65,oz,813513010257,Hispanic Candy & Snacks,6,3,0,$15.45,$0.77,,,,,,,,,
17363,BOTANA PAPAS CASERAS CHILE,20,2.65,oz,813513011537,Hispanic Candy & Snacks,6,3,0,$45.11,$2.26,,,,,,,,,
17362,BOTANA PAPAS CASERAS SAL,20,2.65,oz,813513011520,Hispanic Candy & Snacks,6,3,0,$45.11,$2.26,,,,,,,,,
16779,BOULDER BLASTS POPPING CANDY - BLUE RASPBERRY,24,0.35,oz,632365625958,Candy,,,0,$14.58,$0.61,,,,,,,,,
16780,BOULDER BLASTS POPPING CANDY - COTTON CANDY,24,0.35,oz,632365625859,Candy,,,0,$14.58,$0.61,,,,,,,,,
16781,BOULDER BLASTS POPPING CANDY - STRAWBERRY,24,0.35,oz,632365625972,Candy,,,0,$14.58,$0.61,,,,,,,,,
16550,BOUNTY 12 DOUBLE ROLL PAPER TOWEL,12,1,rl,030772058152,Paper Products,12,2,0,$30.78,$2.56,,,,,,,,,
10680,BRAGG ORGANIC APPLE CIDER VINEGAR,12,16,oz,074305001161,Oils & Vinegars,17,6,0,$40.17,$3.35,,,,,,,,,
10681,BRAGG ORGANIC APPLE CIDER VINEGAR,12,32,oz,074305001321,Oils & Vinegars,11,5,0,$61.68,$5.14,,,,,,,,,
10682,BREATHSAVERS PEPPERMINT,24,0.75,oz,03400076406,Candy,,,0,$20.60,$0.85,,,,,,,,,
10683,BREATHSAVERS SPEARMINT,24,0.75,oz,03400007710,Candy,,,0,$20.60,$0.85,,,,,,,,,
10684,BREATHSAVERS WINTERGREEN,24,0.75,oz,03400076707,Candy,,,0,$20.60,$0.85,,,,,,,,,
10734,BRILLO ALL PURPOSE CLEANER W/BLEACH,12,22,oz,1002028071,Household Products,15,4,0,$12.24,$1.02,,,,,,,,,
16709,BRILLO ALL-PURPOSE CLEANER CAN ,12,9,oz,810020287325,Household Products,25,5,0,$12.24,$1.02,,,,,,,,,
16710,BRILLO BATHROOM CLEANER CAN ,12,9,oz,810020287301,Household Products,25,5,0,$12.24,$1.02,,,,,,,,,
16340,BRILLO BATHROOM OXY CLEANER CAN,12,9,oz,810020287295,Household Products,25,5,0,$12.24,$1.02,,,,,,,,,
10738,BRILLO CARPET CLEANER,12,9,oz,810020287349,Household Products,25,5,0,$12.24,$1.02,,,,,,,,,
