Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,EAPREV5,"ELIZABETH ARDEN/PREVAGE PROGRESSIVE RENEWAL TREATMENT ANTI-AGING SET (W)
PREVAGE ANTI AGING TREATMENT PHASE 1 0.33 OZ
PREVAGE ANTI AGING TREATMENT PHASE 2 0.33 OZ
PREVAGE ANTI AGING TREATMENT PHASE 3 0.33 OZ
PREVAGE ANTI AGING TREATMENT PHASE 4 0.33 OZ
4 WEEK TREATMENT", 085805553609, N19222AEL,169.00,57,72.91
,EL36B-Q,"ESTEE LAUDER/MEET YOUR MATCH DOUBLE WEAR MAKEUP KIT
ADVANCED NIGHT REPAIR SYNCHRONIZED RECOVERY COMPLEX II 0.5OZ
THE SMOOTHER UNIVERSAL PERFECTING PRIMER 0.5 OZ
DOUBLE WEAR STAY-IN-PLACE MAKEUP 1.0 OZ (CHOOSE YOUR SHADE)
DUAL ENDED FOUNDATION BRUSH 
CHOOSE YOUR SHADE", 887167398214, ,54.00,31,37.16
,ELRENU1,"ESTEE LAUDER/THE SECRET OF INFINITE BEAUTY ULTIMATE LIFT REGEN YOUTH COLLECTION
RE-NUTRIV ULTIMATE LIFT REGENERATING YOUTH EYE CREME 0.5
RE-NUTRIV ULTIMATE LIFT REGENERATING YOUTH CREAM 0.24 OZ
RE-NUTRIV INTENSIVE SOFTENING LOTION 1.7 OZ
RE-NUTRIV TRAVEL CASE", 887167465039, ,170.00,28,122.89
,H2O2-Q,"H2O+/AQUALIBRUM SKINCARE MUST-HAVES SET
DUAL-ACTION EYE MAKEUP REMOVER 1.35 OZ
TREATMENT CLEANSER GEL 2.0 OZ
SEA MINERAL EXFOLIATING SCRUB 2.0 OZ
MARINE HYDRATING TREATMENT MASK 2.0  OZ
TREATMENT TONER 1.7 OZ", 764505710030, 08471003002,29.50,69,9.00
,H2O1-Q,"H2O+/FACE OASIS INTENSIVE HYDRATION SYSTEM SET
OASIS MIST 1.7 OZ
OASIS TREATMENT SERUM 0.85 OZ
OASIS TREATMENT GEL 1.7 OZ
OASIS EYE CARE MOISTURIZER 0.24 OZ
FOR NORMAL/OILY SKIN", 764505710023, 71002,64.00,56,27.90
,SHIS12-Q,"SHISEIDO/GINZA TOKYO BENEFIANCE WRINKLE SMOOTH EYE 3 PC. SET
BENEFIANCE WRINKLE SMOOTHING EYE CREAM 0.51 OZ
ULTIMUNE  POWER INFUSING EYE CONCENTRATE SERUM UNBOXED .18 OZ
BENEFIANCE WRINKLE RESIST 24 PURE RETINOL EYE MASK UNBOXED 
$112 VALUE", 777531903284, 90328,80.00,61,31.30
,SHIS19-Q,"SHISEIDO/GINZA TOKYO BIO PERFORMANCE LIFTDYNAMIC SERUM 4 PC. SET
BIO-PERFORMANCE LIFTDYNAMIC SERUM 1.0 OZ
BENEFIANCE EXTRA CREAMY CLEANSING FOAM 1.0 OZ UNBOXED
ULTIMUNE POWER INFUSING CONCENTRATE SERUM UNBOXED .33 OZ
BENEFIANCEWRINKLE RESIST 24 BALANCING LOTION 0.23 OZ UNBOXED
$165 VALUE
GIFT BOX", 777531490050, 49005,127.00,52,61.20
,SHIS11-Q,"SHISEIDO/TOKYO MOMENTS 4 PC. SET
ESSENTIAL ENERGY DAY CREAM SPF 20 1.7 OZ
GINZA TOKYO OIL CONTROL BLOTTING PAPER 100 SHEETS
ULTIMUNE POWER INFUSING CONCENTRATE SERUM UNBOXED .33 OZ
 CLARIFYING CLEANSING FOAM UNBOXED 1.8 OZ
$132 VALUE", 777531491590, 49159,64.00,56,28.30
,SHIS24-Q,"SHISEIDO/GINZA TOKYO 3 PC. SET
ULTIMUNE POWER INFUSING CONCENTRATE SERUM 1 OZ 
ULTIMUNE POWER INFUSING EYE CONCENTRATE SERUM .54 OZ
CLARIFYING CLEANSING FOAM UNBOXED .55 OZ
RED CASE", , 90319,135.00,52,65.35
,SHIS25-Q,"SHISEIDO/ 5TH ANNIVERSARY 4 PC. SET
ULTIMUNE POWER INFUSING CONCENTRATE SERUM 1 OZ 
ULTIMUNE POWER INFUSING EYE CONCENTRATE SERUM .54 OZ
CLARIFYING CLEANSING FOAM UNBOXED .55 OZ
 TREATMENT SOFTENER LOTION 2.5 OZ
RED CASE", 147, 741,135.00,52,65.35
,SHIS13-Q,"SHISEIDO/GINZA TOKYO SHINING BRIGHT SKINCARE REGIME 4 PC. SET
WHITE LUCENT ILLUMINATING MICRO SPOT SERUM 1.0 OZ
ULTIMUNE POWER INFUSING CONCENTRATE SERUM UNBOXED 0.33 OZ
WHITE LUCENT BRIGHTENING GEL CREAM .53 OZ UNBOXED
 REVITALIZING TREATMENT SOFTENER 2.5 OZ UNBOXED
$267 VALUE", 777531491569, 49156,175.00,52,83.90
,SHIS16-Q,"SHISEIDO/GINZA TOKYO WRINKLE SMOOTHING 3 PC. SET
CLARIFYING CLEANSING FOAM UNBOXED 1.8 OZ 
TREATMENT SOFTENER 2.5 OZ UNBOXED 
BENEFIANCE WRINKLE SMOOTHING CREAM 1.7 OZ
IN LUCITE CASE
$138 VALUE", 777531903000, 90300,85.00,57,36.60
,SHIS17-Q,"SHISEIDO/GINZA TOKYO SAKURA BRIGHTENING 3 PC. SET
CLARIFYING CLEANSING FOAM 1.8 OZ UNBOXED
 TREATMENT SOFTENER 2.5 OZ UNBOXED
WHITE LUCENT BRIGHTENING GEL CREAM 1.7 OZ
IN LUCITE CASE
$142 VALUE", 777531903079, 90307,88.00,57,37.60
,SHIS23-Q,"SHISEIDO/GINZA TOKYO ILLUMINATE YOUR SKIN 3 PC. SET
ESSENTIAL ENERGY MOISTURIZING CREAM 1.7 OZ UNBOXED 
AURA DEW - FACE,EYES,LIPS (SOLAR)  .16 OZ
ULTIMUNE POWER INFUSING CONCENTRATE SERUM UNBOXED .33 OZ
$127 VALUE", 777531490999, 49099,64.00,51,31.10
,SHFUSO2-Q,"FUTURE SOLUTION LX/SHISEIDO TRAVEL COLLECTION
FUTURE SOLUTION LX EXTRA RICH CLEANSING FOAM UNBOXED 1.8 OZ
FUTURE SOLUTION LX CONCENTRATED BALANCING SOFTENER UNBOXED 2.5 OZ
FUTURE SOLUTION LX TOTAL REGENERATING CREAM 0.50 OZ
FUTURE SOLUTION LX TOTAL PROTECTIVE CREAM SPF 20 UNBOXED 0.53 OZ
 POUCH", 726508000280, 72100028101,150.00,57,64.05
,SHWASO3-Q,
